Titre,Démarrage,Entrées totales,Réalisateur,Pays,Genre,Date de sortie,Classification,Distributeur,Rang toutes exploitations,Rang général,Nb 1ère places hebdo,Nb semaines Top20,Meilleure place hebdo,Acteur principal,Acteur secondaire
je vous aime très beaucoup,23 976,33 284,,France,Comédie dramatique,07/07/2010,Tous publics,Jour2Fête,14 527,14 605,0,1,17,,
winnie l'ourson,67 425,210 516,,Etats-Unis,Animation,13/04/2011,Tous publics,Walt Disney Pictures,9 319,9 368,0,3,13,,
le pornographe,24 236,64 723,,France,Drame,03/10/2001,Moins de 16 ans,Haut et Court,12 929,12 998,0,0,-,Jérémy Renier,
lebanon,23 952,44 562,,Israël,Guerre,03/02/2010,Tous publics,CTV International,13 894,13 969,0,1,19,,
richard iii,67 406,130 309,,Etats-Unis,Drame,26/06/1996,Tous publics,Bac Films,10 837,10 893,0,1,13,"Kristin Scott Thomas, Annette Bening, Ian McKellen",Robert Downey Jr
libre,23 881,61 075,,France,Documentaire,26/09/2018,Tous publics,Jour2Fête,13 074,13 143,0,1,19,,
les bouchers verts,24 055,30 819,,Danemark,Comédie dramatique,26/01/2005,Moins de 12 ans,EuropaCorp,14 668,14 750,0,0,-,Mads Mikkelsen,
cake,24 050,30 691,,Etats-Unis,Drame,08/04/2015,Tous publics,Warner Bros.,14 681,14 763,0,1,20,"Jennifer Aniston, Sam Worthington",William H. Macy
isolation,24 308,33 893,,Irlande,Horreur,07/06/2006,Moins de 12 ans,TFM Distribution,14 483,14 559,0,1,12,,
mumu,24 559,43 357,,France,Comédie,24/03/2010,Tous publics,Gébéka,13 951,14 026,0,1,18,Sylvie Testud,Michel Galabru
les enfants de la mer,24 250,67 132,,Japon,Animation,10/07/2019,Tous publics,Eurozoom,12 808,12 877,0,1,16,,
mary,24 534,65 454,,Italie,Drame,21/12/2005,Tous publics,Pan-Européenne,12 897,12 966,0,0,-,"Juliette Binoche, Forest Whitaker","Marion Cotillard, Heather Graham"
un noël en famille,23 900,48 490,,France,Comédie,18/12/2024,Tous publics,KMBO,13 717,13 790,0,0,-,Didier Bourdon,
des abeilles et des hommes,23 880,122 954,,Suisse,Documentaire,20/02/2013,Tous publics,Jour2Fête,11 007,11 064,0,0,-,,
demain et tous les autres jours,23 862,36 322,,France,Comédie dramatique,27/09/2017,Tous publics,Gaumont,14 325,14 400,0,0,-,,Mathieu Amalric
les nouveaux chiens de garde,23 565,217 509,,France,Documentaire,11/01/2012,Tous publics,Epicentre films,9 230,9 276,0,1,18,,
la nuée,23 596,44 193,,France,Fantasy,16/06/2021,Moins de 12 ans,The Jokers / Les Bookmakers,13 912,13 987,0,1,16,,
le géant de fer,24 336,215 670,Brad Bird,Etats-Unis,Animation,08/12/1999,Tous publics,Warner Bros.,8 898,9 308,0,3,15,,
the end of violence,24 327,65 251,Win Wenders,Etats-Unis,Thriller,28/01/1998,Tous publics,Polygram,12 909,12 978,0,1,11,Andie MacDowell,
vic le petit viking,23 615,41 244,,Allemagne,Film familial,21/07/2010,Tous publics,Metropolitan,14 055,14 130,0,1,17,,
amsterdam,24 277,238 391,David O. Russell,Etats-Unis,Thriller,01/11/2022,Tous publics,Walt Disney Pictures,8 957,9 003,0,3,9,"Christian Bale, Margot Robbie, Matthias Schoenaerts","Robert De Niro, Mike Myers, Chris Rock"
mariage à la grecque 2,23 626,25 520,,Etats-Unis,Comédie,30/03/2016,Tous publics,Metropolitan,15 101,15 186,0,0,-,,
félicité,23 628,65 535,,France,Drame,29/03/2017,Tous publics,Jour2Fête,12 893,12 962,0,1,19,,
gilbert grape,23 856,88 329,Lasse Hallstrom,Etats-Unis,Comédie dramatique,06/04/1994,Tous publics,UGC Distribution,12 057,12 119,0,0,-,"Leonardo DiCaprio, Johnny Depp",John C. Reilly
prima la vita,23 090,51 797,,Italie,Drame,12/02/2025,Tous publics,Pyramide,13 517,13 587,0,0,-,,
à peine j'ouvre les yeux,23 107,86 678,,France,Drame,23/12/2015,Tous publics,Shellac,12 097,12 159,0,0,-,,
la femme du vème,23 602,36 659,,France,Thriller,16/11/2011,Tous publics,Haut et Court,14 304,14 379,0,1,19,"Ethan Hawke, Kristin Scott Thomas",
vincent doit mourir,23 621,49 133,,France,Thriller,15/11/2023,Tous publics,Capricci Films,13 676,13 749,0,0,-,Karim Leklou,
