"Titre","URL","Démarrage","Entrées totales","Réalisateur","Producteur","Pays","Genre","Date de sortie","Classification","Distributeur","Rang toutes exploitations","Rang général","Rang 2008","Nb 1ère places hebdo","Nb semaines Top20","Meilleure place hebdo","Acteurs","Acteur principal","Acteur secondaire"
"la pirogue","https://www.jpbox-office.com/fichfilm.php?id=13146&view=2","10 088","31 801","","","France","Drame","17/10/2012","Tous publics","Rezo Films","14 617","14 696","","0","0","-","","",""
"the spectacular now","https://www.jpbox-office.com/fichfilm.php?id=13725&view=2","10 093","18 695","","","Etats-Unis","Comédie dramatique","08/01/2014","Tous publics","Eurozoom","HC","HC","","0","0","-","","",""
"pain noir","https://www.jpbox-office.com/fichfilm.php?id=12289&view=2","9 615","23 823","","","France","Drame","24/08/2011","Tous publics","Alfama Films","HC","HC","","0","0","-","[{""name"": ""Sergi Lopez"", ""role_type"": ""Second rôle"", ""character"": ""Le maire""}]","","Sergi Lopez"
"le coeur à l'ouvrage","https://www.jpbox-office.com/fichfilm.php?id=2636&view=2","9 620","10 828","","","France","Comédie","12/07/2000","Tous publics","Bac Films","HC","HC","","0","0","-","[{""name"": ""Mathilde Seigner"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Mathilde Seigner",""
"les ruines","https://www.jpbox-office.com/fichfilm.php?id=10146&view=2","10 098","14 379","","","Etats-Unis","Horreur","11/06/2008","Moins de 12 ans","Paramount","HC","HC","HC","0","0","-","","",""
"décryptage","https://www.jpbox-office.com/fichfilm.php?id=16927&view=2","10 115","54 811","","","France","Documentaire","22/01/2003","Tous publics","Cine Classic","13 377","13 447","","0","0","-","","",""
"bébé tigre","https://www.jpbox-office.com/fichfilm.php?id=23096&view=2","9 692","19 988","","","France","Drame","14/01/2015","Tous publics","Haut et Court","HC","HC","","0","0","-","[{""name"": ""Karim Leklou"", ""role_type"": ""Second rôle"", ""character"": ""Frédéric""}]","","Karim Leklou"
"voyage à travers le cinéma français","https://www.jpbox-office.com/fichfilm.php?id=16326&view=2","9 706","56 459","Bertrand Tavernier","","France","Documentaire","12/10/2016","Tous publics","Pathé","13 301","13 371","","0","0","-","[]","",""
"pour l'amour du jeu","https://www.jpbox-office.com/fichfilm.php?id=2941&view=2","9 744","12 449","Sam Raimi","","Etats-Unis","Romance","14/06/2000","Tous publics","UIP","HC","HC","","0","0","-","[{""name"": ""Kevin Costner"", ""role_type"": ""Rôle principal"", ""character"": ""Billy Chapel""}, {""name"": ""John C. Reilly"", ""role_type"": ""Second rôle"", ""character"": """"}]","Kevin Costner","John C. Reilly"
"les rois du monde","https://www.jpbox-office.com/fichfilm.php?id=16948&view=2","9 775","11 171","","","France","Comédie dramatique","23/09/2015","Tous publics","Jour2Fête","HC","HC","","0","0","-","[{""name"": ""Sergi Lopez"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Sergi Lopez",""
"le purificateur","https://www.jpbox-office.com/fichfilm.php?id=1663&view=2","9 793","13 331","","","Etats-Unis","Thriller","19/11/2003","Distribué par -","-","HC","HC","","0","0","-","[{""name"": ""Heath Ledger"", ""role_type"": ""Rôle principal"", ""character"": ""Frère Alex Bernier""}, {""name"": ""Charlton Heston"", ""role_type"": """", ""character"": """"}]","Heath Ledger",""
"rio sex comedy","https://www.jpbox-office.com/fichfilm.php?id=11967&view=2","10 012","17 208","","","France","Comédie","23/02/2011","Tous publics","One Plus","HC","HC","","0","0","-","[{""name"": ""Bill Pullman"", ""role_type"": ""Rôle principal"", ""character"": ""William""}, {""name"": ""Charlotte Rampling"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Bill Pullman, Charlotte Rampling",""
"pig","https://www.jpbox-office.com/fichfilm.php?id=21265&view=2","10 015","16 030","","","Etats-Unis","Thriller","27/10/2021","Tous publics","Metropolitan","HC","HC","","0","0","-","[{""name"": ""Nicolas Cage"", ""role_type"": ""Rôle principal"", ""character"": ""Rob""}]","Nicolas Cage",""
"allez raconte!","https://www.jpbox-office.com/fichfilm.php?id=11703&view=2","10 052","48 983","","","France","Animation","20/10/2010","Tous publics","Gébéka","13 682","13 755","","0","0","-","[{""name"": ""Omar Sy"", ""role_type"": """", ""character"": ""Momo""}]","",""
"kafka, le dernier été","https://www.jpbox-office.com/fichfilm.php?id=23862&view=2","10 165","15 839","","","Allemagne","Drame","20/11/2024","Tous publics","Condor Distribution","HC","HC","","0","0","-","","",""
"ana arabia","https://www.jpbox-office.com/fichfilm.php?id=14448&view=2","10 283","30 487","","","Israël","Drame","06/08/2014","Tous publics","Océan Films","14 697","14 779","","0","0","-","","",""
"sans pitié (2017)","https://www.jpbox-office.com/fichfilm.php?id=17207&view=2","10 288","14 852","","","Corée du Sud","Thriller","28/06/2017","Moins de 12 ans","ARP Selection","HC","HC","","0","0","-","","",""
"je voyage seule","https://www.jpbox-office.com/fichfilm.php?id=14466&view=2","10 295","35 088","","","Italie","Comédie dramatique","09/07/2014","Tous publics","Bellissima Films","14 403","14 478","","0","0","-","","",""
"une journée à rome","https://www.jpbox-office.com/fichfilm.php?id=13689&view=2","10 301","18 264","","","Italie","Comédie dramatique","17/07/2013","Tous publics","Bellissima Films","HC","HC","","0","0","-","","",""
"piece by piece","https://www.jpbox-office.com/fichfilm.php?id=24077&view=2","10 303","12 273","","","Etats-Unis","Animation","20/11/2024","Tous publics","Universal","HC","HC","","0","0","-","","",""
"umrika","https://www.jpbox-office.com/fichfilm.php?id=15383&view=2","10 310","32 025","","","Inde","Comédie","29/07/2015","Tous publics","ARP Selection","14 601","14 680","","0","0","-","","",""
"planète terreur - un film grindhouse","https://www.jpbox-office.com/fichfilm.php?id=164&view=2","10 136","134 427","Robert Rodriguez","","Etats-Unis","Horreur","14/08/2007","Moins de 12 ans","TFM Distribution","10 752","10 808","","0","1","9","[]","",""
"wallay","https://www.jpbox-office.com/fichfilm.php?id=19215&view=2","10 334","33 746","","","France","Drame","28/06/2017","Tous publics","Rezo Films","14 491","14 567","","0","0","-","","",""
"tango libre","https://www.jpbox-office.com/fichfilm.php?id=16913&view=2","10 138","17 208","","","Belgique","Comédie","28/11/2012","Tous publics","Rezo Films","HC","HC","","0","0","-","[{""name"": ""François Damiens"", ""role_type"": ""Rôle principal"", ""character"": ""Jean-Christophe""}, {""name"": ""Sergi Lopez"", ""role_type"": ""Rôle principal"", ""character"": ""Fernand""}]","François Damiens, Sergi Lopez",""
"petit corbeau","https://www.jpbox-office.com/fichfilm.php?id=13562&view=2","10 349","57 746","","","Allemagne","Animation","27/03/2013","Tous publics","Gébéka","13 244","13 313","","0","0","-","","",""
"voisins, voisines","https://www.jpbox-office.com/fichfilm.php?id=956&view=2","10 150","18 162","","","France","Comédie","20/07/2005","Distribué par Eurozoom","Eurozoom","HC","HC","","0","0","-","[{""name"": ""Frédéric Diefenthal"", ""role_type"": ""Rôle principal"", ""character"": """"}]","Frédéric Diefenthal",""
"une comédie romantique","https://www.jpbox-office.com/fichfilm.php?id=22568&view=2","10 352","26 655","","","France","Romance","16/11/2022","Tous publics","Alba Longa","15 012","15 096","","0","0","-","","",""
"13m2","https://www.jpbox-office.com/fichfilm.php?id=9865&view=2","10 168","12 129","","","France","Thriller","20/06/2007","Tous publics","Rezo Films","HC","HC","","0","0","-","[{""name"": ""Jean-Baptiste Lucien"", ""role_type"": ""Rôle principal"", ""character"": ""Farouk""}, {""name"": ""Thierry Lhermitte"", ""role_type"": ""Second rôle"", ""character"": """"}, {""name"": ""Bérénice Bejo"", ""role_type"": """", ""character"": ""Sophie""}]","Jean-Baptiste Lucien","Thierry Lhermitte"
"prince of texas","https://www.jpbox-office.com/fichfilm.php?id=13696&view=2","10 174","15 505","","","Etats-Unis","Comédie dramatique","30/10/2013","Tous publics","Memento Films","HC","HC","","0","0","-","[{""name"": ""Paul Rudd"", ""role_type"": ""Rôle principal"", ""character"": ""Alvin""}]","Paul Rudd",""
"les dauphins","https://www.jpbox-office.com/fichfilm.php?id=2236&view=2","10 364","139 689","","","Canada","Documentaire","14/02/2001","Distribué par Géode","Géode","10 624","10 679","","0","0","-","","",""
"the fighting temptations","https://www.jpbox-office.com/fichfilm.php?id=1662&view=2","10 310","13 929","","","Etats-Unis","Comédie","03/03/2004","Distribué par -","-","HC","HC","","0","0","-","[{""name"": ""Cuba Gooding Jr."", ""role_type"": ""Rôle principal"", ""character"": ""Darrin Hill""}]","Cuba Gooding Jr.",""
